Phenometric,Adjusted R2,P value,F Statistic,dF,Slope,Pearson's R,Variable,Time Period,Medium
GSL,-0.327,0.912,0.014,3,-1.312,-0.069,Shallow SWC,June to Oct,Understory
UD,-0.302,0.805,0.073,3,-2.16,-0.154,Deep SWC,June to Oct,Understory
SD,-0.182,0.579,0.385,3,8.832,0.337,Deep SWC,June to Oct,Understory
DD,-0.327,0.913,0.014,3,-4.108,-0.069,Deep SWC,June to Oct,Understory
RD,-0.327,0.913,0.014,3,3.44,0.069,Deep SWC,June to Oct,Understory
GSL,-0.32,0.873,0.03,3,4.803,0.1,Deep SWC,June to Oct,Understory
UD,-0.277,0.74,0.132,3,-1.83,-0.205,Shallow SWC,AugSept,Understory
SD,-0.086,0.469,0.683,3,7.141,0.431,Shallow SWC,AugSept,Understory
DD,-0.299,0.796,0.08,3,-6.129,-0.161,Shallow SWC,AugSept,Understory
RD,-0.271,0.727,0.147,3,6.863,0.216,Shallow SWC,AugSept,Understory
GSL,-0.241,0.668,0.224,3,8.045,0.264,Shallow SWC,AugSept,Understory
UD,-0.304,0.812,0.068,3,-1.934,-0.149,Deep SWC,AugSept,Understory
SD,-0.268,0.72,0.156,3,5.381,0.222,Deep SWC,AugSept,Understory
DD,-0.087,0.47,0.679,3,-23.862,-0.43,Deep SWC,AugSept,Understory
RD,-0.317,0.86,0.037,3,-5.123,-0.11,Deep SWC,AugSept,Understory
GSL,-0.318,0.863,0.035,3,-4.814,-0.108,Deep SWC,AugSept,Understory
UD,-0.259,0.702,0.178,3,0.878,0.237,Shallow SWC,Sept,Understory
SD,0.543,0.096,5.752,3,5.608,0.811,Shallow SWC,Sept,Understory
DD,-0.12,0.505,0.571,3,6.339,0.4,Shallow SWC,Sept,Understory
RD,0.21,0.247,2.061,3,8.453,0.638,Shallow SWC,Sept,Understory
GSL,0.193,0.256,1.957,3,7.994,0.628,Shallow SWC,Sept,Understory
UD,-0.048,0.433,0.817,3,2.67,0.463,Deep SWC,Sept,Understory
SD,0.666,0.058,8.98,3,9.304,0.866,Deep SWC,Sept,Understory
DD,-0.166,0.559,0.429,3,8.71,0.354,Deep SWC,Sept,Understory
RD,0.014,0.38,1.055,3,10.497,0.51,Deep SWC,Sept,Understory
GSL,-0.083,0.466,0.694,3,8.567,0.433,Deep SWC,Sept,Understory
DD,-0.329,0.925,0.011,3,0.608,0.059,Shallow SWC,Oct,Understory
RD,-0.317,0.86,0.037,3,0.945,0.11,Shallow SWC,Oct,Understory
GSL,-0.304,0.813,0.066,3,1.213,0.147,Shallow SWC,Oct,Understory
DD,-0.202,0.608,0.327,3,7.362,0.313,Deep SWC,Oct,Understory
RD,-0.214,0.625,0.295,3,5.874,0.299,Deep SWC,Oct,Understory
GSL,-0.236,0.66,0.237,3,5.103,0.271,Deep SWC,Oct,Understory
UD,0.181,0.064,4.103,13,-18.458,-0.451,Shallow SWC,MAMJ,MODIS
SD,0.079,0.162,2.196,13,-14.652,-0.386,Shallow SWC,MAMJ,MODIS
DD,0.319,0.017,7.561,13,18.708,0.606,Shallow SWC,MAMJ,MODIS
RD,0.575,0.001,19.926,13,26.328,0.592,Shallow SWC,MAMJ,MODIS
GSL,0.57,0.001,19.569,13,44.786,0.779,Shallow SWC,MAMJ,MODIS
UD,0.271,0.027,6.202,13,-17.989,-0.473,Deep SWC,MAMJ,MODIS
SD,0.185,0.062,4.174,13,-15.961,-0.447,Deep SWC,MAMJ,MODIS
DD,0.127,0.105,3.042,13,11.284,0.435,Deep SWC,MAMJ,MODIS
RD,0.218,0.045,4.895,13,14.868,0.409,Deep SWC,MAMJ,MODIS
GSL,0.417,0.006,11.001,13,32.857,0.675,Deep SWC,MAMJ,MODIS
UD,0.303,0.019,7.098,13,21.857,0.759,Shallow SWC,JulyAug,MODIS
SD,0.152,0.084,3.507,13,17.34,0.646,Shallow SWC,JulyAug,MODIS
DD,-0.077,0.96,0.003,13,-0.423,-0.014,Shallow SWC,JulyAug,MODIS
RD,-0.012,0.379,0.831,13,-8.094,0.156,Shallow SWC,JulyAug,MODIS
GSL,0.227,0.042,5.109,13,-29.952,-0.54,Shallow SWC,JulyAug,MODIS
UD,0.062,0.189,1.923,13,17.265,0.479,Deep SWC,JulyAug,MODIS
SD,-0.029,0.453,0.599,13,10.324,0.355,Deep SWC,JulyAug,MODIS
DD,-0.076,0.901,0.016,13,1.39,0.035,Deep SWC,JulyAug,MODIS
RD,-0.051,0.58,0.322,13,-6.713,0.052,Deep SWC,JulyAug,MODIS
GSL,0.037,0.237,1.537,13,-23.978,-0.372,Deep SWC,JulyAug,MODIS
UD,0.292,0.018,7.175,14,-13.816,-0.651,Shallow SWC,NDJF,MODIS
SD,0.206,0.044,4.901,14,-12.323,-0.6,Shallow SWC,NDJF,MODIS
DD,0.171,0.063,4.092,14,9.483,0.476,Shallow SWC,NDJF,MODIS
RD,0.317,0.014,7.959,14,13.063,0.297,Shallow SWC,NDJF,MODIS
GSL,0.499,0.001,15.923,14,26.879,0.743,Shallow SWC,NDJF,MODIS
UD,0.428,0.004,12.241,14,-18.581,-0.685,Deep SWC,NDJF,MODIS
SD,0.34,0.01,8.719,14,-17.184,-0.656,Deep SWC,NDJF,MODIS
DD,0.287,0.019,7.041,14,13.223,0.578,Deep SWC,NDJF,MODIS
RD,0.328,0.012,8.317,14,15.184,0.356,Deep SWC,NDJF,MODIS
GSL,0.613,0.001,24.787,14,33.765,0.81,Deep SWC,NDJF,MODIS
UD,0.093,0.153,2.334,12,8.402,0.403,Shallow SWC,JASO,MODIS
SD,0.082,0.167,2.161,12,8.898,0.391,Shallow SWC,JASO,MODIS
DD,0.331,0.015,7.937,13,22.869,0.616,Shallow SWC,JASO,MODIS
RD,0.145,0.089,3.369,13,18.486,0.642,Shallow SWC,JASO,MODIS
GSL,-0.075,0.885,0.022,13,-2.84,-0.181,Shallow SWC,JASO,MODIS
UD,0.364,0.013,8.431,12,16.934,0.642,Deep SWC,JASO,MODIS
SD,0.12,0.122,2.77,12,12.489,0.433,Deep SWC,JASO,MODIS
DD,0.032,0.248,1.464,13,15.527,0.318,Deep SWC,JASO,MODIS
RD,-0.021,0.414,0.714,13,12.211,0.399,Deep SWC,JASO,MODIS
GSL,-0.046,0.543,0.391,13,-15.609,-0.243,Deep SWC,JASO,MODIS
